layer,pair_type,n_pairs,mean_cosine,std_cosine,mean_l2,std_l2,mean_jaccard,std_jaccard,mean_shared
2,correct_correct,401,0.44332389581827747,0.476960290191757,338.4458339886178,286.30843991081974,0.6194725613886161,0.3667150387164896,2.2219451371571073
2,correct_wrong,541,0.6086564143351839,0.4678847125810394,438.6830667545967,280.1291643725076,0.7394544542825392,0.3374035881109529,1.5988909426987061
2,wrong_wrong,1249,0.5551503436674206,0.4714053880538443,404.46245206996286,277.5954721962501,0.7088548126709404,0.3247134819061937,1.8070456365092074
3,correct_correct,401,0.48378662307958054,0.4624775980019316,405.8663141198289,284.3082188168914,0.6968134617138447,0.28770543016257577,2.6359102244389025
3,correct_wrong,541,0.6437550596961693,0.4467109248989421,509.49488651466015,274.71010958069286,0.7951050969980891,0.2606661332594604,1.9186691312384474
3,wrong_wrong,1249,0.5809801273865162,0.4550194749818832,468.04969432394057,274.44746058465677,0.7649421461685448,0.25769641584907393,2.288230584467574
4,correct_correct,401,0.491879965450401,0.4403766397023536,487.924506732056,296.49463856281216,0.6836389690463426,0.27866110927946075,3.7032418952618453
4,correct_wrong,541,0.6517922411123618,0.42877225333061414,603.9985667667636,292.0403126538208,0.7960085079411425,0.24837305497915177,2.4842883548983363
4,wrong_wrong,1249,0.5904096835990063,0.43748968394259874,560.1817402560965,290.5249263971696,0.7577984029185515,0.2611116270445774,3.0640512409927942
12,correct_correct,401,0.41161702012183365,0.35024170410054956,1175.673404113313,583.2719285242358,0.701199050169363,0.18011886747902597,7.361596009975062
12,correct_wrong,541,0.5839477109820917,0.35562882489183445,1455.5609018604328,588.0640555653783,0.8026698287662796,0.16274469066336283,5.0258780036968576
12,wrong_wrong,1249,0.5384453578984097,0.35457803391500353,1380.7376553097947,574.6216884412406,0.7740503624866253,0.1723622098744719,5.5604483586869495
15,correct_correct,401,0.48138202306932937,0.29601573454098595,1295.2489312759362,510.53860741361444,0.7061656194015368,0.17370006065069135,7.177057356608479
15,correct_wrong,541,0.6325540842278388,0.30353063116022055,1600.0580381721313,521.7773929021853,0.8039472311236342,0.15722144623928921,5.009242144177449
15,wrong_wrong,1249,0.5848617492626914,0.2982952189196063,1542.311418043126,523.5857188496192,0.7840552995505556,0.1649986942909513,5.357886309047238
18,correct_correct,401,0.3994717623230228,0.3126928895513172,2179.185392841139,945.7892073062843,0.6962632737269735,0.18754055131487254,6.905236907730673
18,correct_wrong,541,0.6033550191278158,0.3163007592930641,2782.8522685221956,1037.1671483154778,0.8051296403958816,0.15531380400083988,4.846580406654343
18,wrong_wrong,1249,0.5881548457569461,0.30942520753629005,2692.253660227987,1041.064418725206,0.7885889635029594,0.16088914024613762,5.251401120896717
