layer,is_correct,n_rows,mean_active_features,std_active_features,mean_sum_activation,mean_max_activation
2,False,541,7.231053604436229,5.4900783067081935,929.6996492114394,373.6169810409687
2,True,541,6.044362292051756,4.656921432820652,825.0866702039228,375.095483466129
3,False,541,9.306839186691313,5.656373772127962,1121.7044623581187,402.0554327268477
3,True,541,7.927911275415896,4.5068237439221,994.6152479132971,412.9589193347642
4,False,541,10.578558225508319,3.977695050834949,1375.3751432803112,448.7640467730115
4,True,541,9.537892791127542,3.356716097446332,1271.007871842869,451.62564549472546
12,False,541,17.03327171903882,4.77675721187682,4374.847916185305,958.035771001509
12,True,541,17.42513863216266,4.226069471174126,4476.540273275041,990.5423084195572
15,False,541,17.382624768946396,4.7116476383745205,5200.374286080464,874.7196823373961
15,True,541,16.961182994454713,4.887282218863707,4921.574740425716,847.8004201159239
18,False,541,16.99260628465804,4.82585061109719,8601.686883556204,1741.6532956051078
18,True,541,16.720887245841034,4.356105543674685,8538.147954634069,1719.9965033963074
