layer,feature_id,active_count,active_fraction,total_activation,mean_activation_when_active,max_activation,sae_folder
2,9020,2540,0.5796439981743496,81239.90660095215,31.984215197225254,69.69642639160156,resid_post_all/layer_2_width_16k_l0_small
2,749,1170,0.26700136923779094,496296.1129760742,424.1847119453626,480.8817138671875,resid_post_all/layer_2_width_16k_l0_small
2,895,828,0.18895481515289822,61681.56982421875,74.49464954615792,156.50259399414062,resid_post_all/layer_2_width_16k_l0_small
2,13282,787,0.17959835691465084,34408.36029815674,43.72091524543423,65.27515411376953,resid_post_all/layer_2_width_16k_l0_small
2,446,758,0.17298037425832952,224191.04690551758,295.76655264580154,403.6463623046875,resid_post_all/layer_2_width_16k_l0_small
2,1913,716,0.16339570972158832,77113.74173736572,107.70075661643257,241.23056030273438,resid_post_all/layer_2_width_16k_l0_small
2,690,690,0.1574623459607485,97804.3716430664,141.7454661493716,411.3603210449219,resid_post_all/layer_2_width_16k_l0_small
2,963,684,0.1560931081697855,154693.99685668945,226.16081411796705,249.17039489746094,resid_post_all/layer_2_width_16k_l0_small
2,505,584,0.13327247832040165,223059.978515625,381.9520180062072,441.8883056640625,resid_post_all/layer_2_width_16k_l0_small
2,527,577,0.1316750342309448,83083.27513122559,143.99181131928177,358.8036193847656,resid_post_all/layer_2_width_16k_l0_small
2,61,576,0.13144682793245094,83004.3662109375,144.10480244954428,329.2545471191406,resid_post_all/layer_2_width_16k_l0_small
2,676,378,0.08626198083067092,22005.85092163086,58.216536829711266,181.72457885742188,resid_post_all/layer_2_width_16k_l0_small
2,2513,371,0.08466453674121406,28727.241455078125,77.43191766867419,221.9714813232422,resid_post_all/layer_2_width_16k_l0_small
2,12956,338,0.0771337288909174,13898.053314208984,41.11850092961238,57.442378997802734,resid_post_all/layer_2_width_16k_l0_small
2,354,336,0.07667731629392971,34676.64567565918,103.20430260612851,237.10134887695312,resid_post_all/layer_2_width_16k_l0_small
2,18,313,0.07142857142857142,92309.58850097656,294.91881310216155,404.22540283203125,resid_post_all/layer_2_width_16k_l0_small
2,267,309,0.07051574623459607,131884.94696044922,426.81212608559616,518.5279541015625,resid_post_all/layer_2_width_16k_l0_small
2,746,300,0.06846188954815152,18087.9220123291,60.293073374430335,175.6126251220703,resid_post_all/layer_2_width_16k_l0_small
2,8403,291,0.06640803286170699,16394.822265625,56.339595414518904,78.67819213867188,resid_post_all/layer_2_width_16k_l0_small
2,13281,288,0.06572341396622547,24242.86562728882,84.17661676141951,156.1552734375,resid_post_all/layer_2_width_16k_l0_small
2,72,269,0.06138749429484254,130500.88067626953,485.1333854136414,556.201416015625,resid_post_all/layer_2_width_16k_l0_small
2,1555,269,0.06138749429484254,16658.787719726562,61.92857888374187,158.01434326171875,resid_post_all/layer_2_width_16k_l0_small
2,1101,204,0.04655408489274304,10801.1123046875,52.94662894454657,149.4747314453125,resid_post_all/layer_2_width_16k_l0_small
2,8890,198,0.04518484710178001,10010.870754241943,50.55995330425224,74.95278930664062,resid_post_all/layer_2_width_16k_l0_small
2,1330,188,0.042902784116841626,18317.977123260498,97.43604852798137,184.12261962890625,resid_post_all/layer_2_width_16k_l0_small
2,2599,185,0.04221816522136011,11100.520017623901,60.00281090607514,126.79000091552734,resid_post_all/layer_2_width_16k_l0_small
2,29,176,0.040164308534915566,27118.697982788086,154.0835112658414,358.8424072265625,resid_post_all/layer_2_width_16k_l0_small
2,1219,175,0.039936102236421724,16485.67137527466,94.20383643014091,311.32135009765625,resid_post_all/layer_2_width_16k_l0_small
2,3262,171,0.039023277042446375,11019.718444824219,64.44279792294864,127.5931396484375,resid_post_all/layer_2_width_16k_l0_small
2,328,168,0.038338658146964855,73307.18319702148,436.3522809346517,480.935791015625,resid_post_all/layer_2_width_16k_l0_small
2,15214,168,0.038338658146964855,16031.423141479492,95.42513774690174,111.0807876586914,resid_post_all/layer_2_width_16k_l0_small
2,230,164,0.037425832952989506,29551.12449645996,180.18978351499976,212.33157348632812,resid_post_all/layer_2_width_16k_l0_small
2,6253,162,0.03696942035600183,5095.730619430542,31.455127280435445,53.586246490478516,resid_post_all/layer_2_width_16k_l0_small
